iter	Passed	Remaining
0	226	22436
1	467	22905
2	659	21331
3	877	21055
4	1063	20198
5	1255	19677
6	1449	19258
7	1636	18814
8	1843	18642
9	2094	18849
10	2310	18695
11	2483	18215
12	2683	17956
13	2883	17711
14	3069	17392
15	3255	17089
16	3445	16822
17	3636	16567
18	3875	16520
19	4052	16208
20	4239	15947
21	4421	15676
22	4631	15505
23	4857	15380
24	5042	15126
25	5220	14857
26	5403	14609
27	5574	14333
28	5763	14110
29	5941	13863
30	6135	13655
31	6316	13423
32	6503	13204
33	6682	12971
34	6880	12777
35	7070	12569
36	7247	12340
37	7422	12110
38	7605	11895
39	7796	11694
40	7971	11471
41	8153	11259
42	8333	11046
43	8514	10836
44	8689	10620
45	8875	10419
46	9051	10207
47	9231	10000
48	9414	9798
49	9595	9595
50	9785	9402
51	9972	9205
52	10152	9003
53	10334	8803
54	10518	8606
55	10691	8400
56	10886	8212
57	11061	8009
58	11245	7814
59	11420	7613
60	11607	7421
61	11790	7226
62	11985	7039
63	12154	6837
64	12335	6642
65	12528	6454
66	12713	6261
67	12944	6091
68	13124	5896
69	13302	5700
70	13482	5506
71	13673	5317
72	13871	5130
73	14049	4936
74	14227	4742
75	14411	4550
76	14592	4358
77	14785	4170
78	14967	3978
79	15143	3785
80	15320	3593
81	15499	3402
82	15678	3211
83	15872	3023
84	16058	2833
85	16240	2643
86	16421	2453
87	16605	2264
88	16805	2077
89	16991	1887
90	17174	1698
91	17354	1509
92	17535	1319
93	17710	1130
94	17907	942
95	18079	753
96	18255	564
97	18443	376
98	18632	188
99	18818	0
